"DATE","TIME PERIOD","Rate","From Currency","To Currency"
"1999-01-04","04 Jan 1999","1.1789","USD","EUR"
"1999-01-05","05 Jan 1999","1.1790","USD","EUR"
"1999-01-06","06 Jan 1999","1.1743","USD","EUR"
"1999-01-07","07 Jan 1999","1.1632","USD","EUR"
"1999-01-08","08 Jan 1999","1.1659","USD","EUR"
"1999-01-11","11 Jan 1999","1.1569","USD","EUR"
"1999-01-12","12 Jan 1999","1.1520","USD","EUR"
"1999-01-13","13 Jan 1999","1.1744","USD","EUR"
"1999-01-14","14 Jan 1999","1.1653","USD","EUR"
"1999-01-15","15 Jan 1999","1.1626","USD","EUR"
"1999-01-18","18 Jan 1999","1.1612","USD","EUR"
"1999-01-19","19 Jan 1999","1.1616","USD","EUR"
"1999-01-20","20 Jan 1999","1.1575","USD","EUR"
"1999-01-21","21 Jan 1999","1.1572","USD","EUR"
"1999-01-22","22 Jan 1999","1.1567","USD","EUR"
"1999-01-25","25 Jan 1999","1.1584","USD","EUR"
"1999-01-26","26 Jan 1999","1.1582","USD","EUR"
"1999-01-27","27 Jan 1999","1.1529","USD","EUR"
"1999-01-28","28 Jan 1999","1.1410","USD","EUR"
"1999-01-29","29 Jan 1999","1.1384","USD","EUR"
"1999-02-01","01 Feb 1999","1.1338","USD","EUR"
"1999-02-02","02 Feb 1999","1.1337","USD","EUR"
"1999-02-03","03 Feb 1999","1.1337","USD","EUR"
"1999-02-04","04 Feb 1999","1.1263","USD","EUR"
"1999-02-05","05 Feb 1999","1.1292","USD","EUR"
"1999-02-08","08 Feb 1999","1.1246","USD","EUR"
"1999-02-09","09 Feb 1999","1.1333","USD","EUR"
"1999-02-10","10 Feb 1999","1.1342","USD","EUR"
"1999-02-11","11 Feb 1999","1.1312","USD","EUR"
"1999-02-12","12 Feb 1999","1.1244","USD","EUR"
"1999-02-15","15 Feb 1999","1.1238","USD","EUR"
"1999-02-16","16 Feb 1999","1.1176","USD","EUR"
"1999-02-17","17 Feb 1999","1.1253","USD","EUR"
"1999-02-18","18 Feb 1999","1.1232","USD","EUR"
"1999-02-19","19 Feb 1999","1.1163","USD","EUR"
"1999-02-22","22 Feb 1999","1.0992","USD","EUR"
"1999-02-23","23 Feb 1999","1.0969","USD","EUR"
"1999-02-24","24 Feb 1999","1.1037","USD","EUR"
"1999-02-25","25 Feb 1999","1.1031","USD","EUR"
"1999-02-26","26 Feb 1999","1.1018","USD","EUR"
"1999-03-01","01 Mar 1999","1.0986","USD","EUR"
"1999-03-02","02 Mar 1999","1.0887","USD","EUR"
"1999-03-03","03 Mar 1999","1.0899","USD","EUR"
"1999-03-04","04 Mar 1999","1.0866","USD","EUR"
"1999-03-05","05 Mar 1999","1.0834","USD","EUR"
"1999-03-08","08 Mar 1999","1.0908","USD","EUR"
"1999-03-09","09 Mar 1999","1.0863","USD","EUR"
"1999-03-10","10 Mar 1999","1.0953","USD","EUR"
"1999-03-11","11 Mar 1999","1.0891","USD","EUR"
"1999-03-12","12 Mar 1999","1.0932","USD","EUR"
"1999-03-15","15 Mar 1999","1.0949","USD","EUR"
"1999-03-16","16 Mar 1999","1.0901","USD","EUR"
"1999-03-17","17 Mar 1999","1.0966","USD","EUR"
"1999-03-18","18 Mar 1999","1.1012","USD","EUR"
"1999-03-19","19 Mar 1999","1.0915","USD","EUR"
"1999-03-22","22 Mar 1999","1.0864","USD","EUR"
"1999-03-23","23 Mar 1999","1.0896","USD","EUR"
"1999-03-24","24 Mar 1999","1.0928","USD","EUR"
"1999-03-25","25 Mar 1999","1.0898","USD","EUR"
"1999-03-26","26 Mar 1999","1.0815","USD","EUR"
"1999-03-29","29 Mar 1999","1.0692","USD","EUR"
"1999-03-30","30 Mar 1999","1.0711","USD","EUR"
"1999-03-31","31 Mar 1999","1.0742","USD","EUR"
"1999-04-01","01 Apr 1999","1.0772","USD","EUR"
"1999-04-02","02 Apr 1999","1.0772","USD","EUR"
"1999-04-05","05 Apr 1999","1.0752","USD","EUR"
"1999-04-06","06 Apr 1999","1.0726","USD","EUR"
"1999-04-07","07 Apr 1999","1.0812","USD","EUR"
"1999-04-08","08 Apr 1999","1.0818","USD","EUR"
"1999-04-09","09 Apr 1999","1.0778","USD","EUR"
"1999-04-12","12 Apr 1999","1.0867","USD","EUR"
"1999-04-13","13 Apr 1999","1.0765","USD","EUR"
"1999-04-14","14 Apr 1999","1.0787","USD","EUR"
"1999-04-15","15 Apr 1999","1.0786","USD","EUR"
"1999-04-16","16 Apr 1999","1.0668","USD","EUR"
"1999-04-19","19 Apr 1999","1.0636","USD","EUR"
"1999-04-20","20 Apr 1999","1.0646","USD","EUR"
"1999-04-21","21 Apr 1999","1.0586","USD","EUR"
"1999-04-22","22 Apr 1999","1.0581","USD","EUR"
"1999-04-23","23 Apr 1999","1.0634","USD","EUR"
"1999-04-26","26 Apr 1999","1.0614","USD","EUR"
"1999-04-27","27 Apr 1999","1.0630","USD","EUR"
"1999-04-28","28 Apr 1999","1.0666","USD","EUR"
"1999-04-29","29 Apr 1999","1.0604","USD","EUR"
"1999-04-30","30 Apr 1999","1.0597","USD","EUR"
"1999-05-03","03 May 1999","1.0589","USD","EUR"
"1999-05-04","04 May 1999","1.0564","USD","EUR"
"1999-05-05","05 May 1999","1.0667","USD","EUR"
"1999-05-06","06 May 1999","1.0799","USD","EUR"
"1999-05-07","07 May 1999","1.0786","USD","EUR"
"1999-05-10","10 May 1999","1.0735","USD","EUR"
"1999-05-11","11 May 1999","1.0732","USD","EUR"
"1999-05-12","12 May 1999","1.0645","USD","EUR"
"1999-05-13","13 May 1999","1.0622","USD","EUR"
"1999-05-14","14 May 1999","1.0676","USD","EUR"
"1999-05-17","17 May 1999","1.0685","USD","EUR"
"1999-05-18","18 May 1999","1.0690","USD","EUR"
"1999-05-19","19 May 1999","1.0634","USD","EUR"
"1999-05-20","20 May 1999","1.0639","USD","EUR"
"1999-05-21","21 May 1999","1.0572","USD","EUR"
"1999-05-24","24 May 1999","1.0585","USD","EUR"
"1999-05-25","25 May 1999","1.0627","USD","EUR"
"1999-05-26","26 May 1999","1.0535","USD","EUR"
"1999-05-27","27 May 1999","1.0473","USD","EUR"
"1999-05-28","28 May 1999","1.0479","USD","EUR"
"1999-05-31","31 May 1999","1.0456","USD","EUR"
"1999-06-01","01 Jun 1999","1.0434","USD","EUR"
"1999-06-02","02 Jun 1999","1.0382","USD","EUR"
"1999-06-03","03 Jun 1999","1.0382","USD","EUR"
"1999-06-04","04 Jun 1999","1.0315","USD","EUR"
"1999-06-07","07 Jun 1999","1.0316","USD","EUR"
"1999-06-08","08 Jun 1999","1.0385","USD","EUR"
"1999-06-09","09 Jun 1999","1.0466","USD","EUR"
"1999-06-10","10 Jun 1999","1.0474","USD","EUR"
"1999-06-11","11 Jun 1999","1.0474","USD","EUR"
"1999-06-14","14 Jun 1999","1.0437","USD","EUR"
"1999-06-15","15 Jun 1999","1.0392","USD","EUR"
"1999-06-16","16 Jun 1999","1.0345","USD","EUR"
"1999-06-17","17 Jun 1999","1.0340","USD","EUR"
"1999-06-18","18 Jun 1999","1.0388","USD","EUR"
"1999-06-21","21 Jun 1999","1.0339","USD","EUR"
"1999-06-22","22 Jun 1999","1.0313","USD","EUR"
"1999-06-23","23 Jun 1999","1.0280","USD","EUR"
"1999-06-24","24 Jun 1999","1.0321","USD","EUR"
"1999-06-25","25 Jun 1999","1.0443","USD","EUR"
"1999-06-28","28 Jun 1999","1.0388","USD","EUR"
"1999-06-29","29 Jun 1999","1.0364","USD","EUR"
"1999-06-30","30 Jun 1999","1.0328","USD","EUR"
"1999-07-01","01 Jul 1999","1.0264","USD","EUR"
"1999-07-02","02 Jul 1999","1.0241","USD","EUR"
"1999-07-05","05 Jul 1999","1.0232","USD","EUR"
"1999-07-06","06 Jul 1999","1.0221","USD","EUR"
"1999-07-07","07 Jul 1999","1.0222","USD","EUR"
"1999-07-08","08 Jul 1999","1.0182","USD","EUR"
"1999-07-09","09 Jul 1999","1.0204","USD","EUR"
"1999-07-12","12 Jul 1999","1.0124","USD","EUR"
"1999-07-13","13 Jul 1999","1.0183","USD","EUR"
"1999-07-14","14 Jul 1999","1.0168","USD","EUR"
"1999-07-15","15 Jul 1999","1.0201","USD","EUR"
"1999-07-16","16 Jul 1999","1.0202","USD","EUR"
"1999-07-19","19 Jul 1999","1.0146","USD","EUR"
"1999-07-20","20 Jul 1999","1.0410","USD","EUR"
"1999-07-21","21 Jul 1999","1.0462","USD","EUR"
"1999-07-22","22 Jul 1999","1.0499","USD","EUR"
"1999-07-23","23 Jul 1999","1.0496","USD","EUR"
"1999-07-26","26 Jul 1999","1.0698","USD","EUR"
"1999-07-27","27 Jul 1999","1.0627","USD","EUR"
"1999-07-28","28 Jul 1999","1.0603","USD","EUR"
"1999-07-29","29 Jul 1999","1.0680","USD","EUR"
"1999-07-30","30 Jul 1999","1.0694","USD","EUR"
"1999-08-02","02 Aug 1999","1.0665","USD","EUR"
"1999-08-03","03 Aug 1999","1.0645","USD","EUR"
"1999-08-04","04 Aug 1999","1.0761","USD","EUR"
"1999-08-05","05 Aug 1999","1.0791","USD","EUR"
"1999-08-06","06 Aug 1999","1.0740","USD","EUR"
"1999-08-09","09 Aug 1999","1.0705","USD","EUR"
"1999-08-10","10 Aug 1999","1.0737","USD","EUR"
"1999-08-11","11 Aug 1999","1.0668","USD","EUR"
"1999-08-12","12 Aug 1999","1.0638","USD","EUR"
"1999-08-13","13 Aug 1999","1.0667","USD","EUR"
"1999-08-16","16 Aug 1999","1.0553","USD","EUR"
"1999-08-17","17 Aug 1999","1.0527","USD","EUR"
"1999-08-18","18 Aug 1999","1.0517","USD","EUR"
"1999-08-19","19 Aug 1999","1.0517","USD","EUR"
"1999-08-20","20 Aug 1999","1.0667","USD","EUR"
"1999-08-23","23 Aug 1999","1.0606","USD","EUR"
"1999-08-24","24 Aug 1999","1.0512","USD","EUR"
"1999-08-25","25 Aug 1999","1.0433","USD","EUR"
"1999-08-26","26 Aug 1999","1.0452","USD","EUR"
"1999-08-27","27 Aug 1999","1.0450","USD","EUR"
"1999-08-30","30 Aug 1999","1.0454","USD","EUR"
"1999-08-31","31 Aug 1999","1.0573","USD","EUR"
"1999-09-01","01 Sep 1999","1.0613","USD","EUR"
"1999-09-02","02 Sep 1999","1.0662","USD","EUR"
"1999-09-03","03 Sep 1999","1.0682","USD","EUR"
"1999-09-06","06 Sep 1999","1.0594","USD","EUR"
"1999-09-07","07 Sep 1999","1.0565","USD","EUR"
"1999-09-08","08 Sep 1999","1.0613","USD","EUR"
"1999-09-09","09 Sep 1999","1.0592","USD","EUR"
"1999-09-10","10 Sep 1999","1.0520","USD","EUR"
"1999-09-13","13 Sep 1999","1.0342","USD","EUR"
"1999-09-14","14 Sep 1999","1.0362","USD","EUR"
"1999-09-15","15 Sep 1999","1.0369","USD","EUR"
"1999-09-16","16 Sep 1999","1.0372","USD","EUR"
"1999-09-17","17 Sep 1999","1.0397","USD","EUR"
"1999-09-20","20 Sep 1999","1.0406","USD","EUR"
"1999-09-21","21 Sep 1999","1.0388","USD","EUR"
"1999-09-22","22 Sep 1999","1.0509","USD","EUR"
"1999-09-23","23 Sep 1999","1.0430","USD","EUR"
"1999-09-24","24 Sep 1999","1.0476","USD","EUR"
"1999-09-27","27 Sep 1999","1.0414","USD","EUR"
"1999-09-28","28 Sep 1999","1.0483","USD","EUR"
"1999-09-29","29 Sep 1999","1.0563","USD","EUR"
"1999-09-30","30 Sep 1999","1.0665","USD","EUR"
"1999-10-01","01 Oct 1999","1.0728","USD","EUR"
"1999-10-04","04 Oct 1999","1.0719","USD","EUR"
"1999-10-05","05 Oct 1999","1.0686","USD","EUR"
"1999-10-06","06 Oct 1999","1.0737","USD","EUR"
"1999-10-07","07 Oct 1999","1.0729","USD","EUR"
"1999-10-08","08 Oct 1999","1.0657","USD","EUR"
"1999-10-11","11 Oct 1999","1.0631","USD","EUR"
"1999-10-12","12 Oct 1999","1.0668","USD","EUR"
"1999-10-13","13 Oct 1999","1.0778","USD","EUR"
"1999-10-14","14 Oct 1999","1.0758","USD","EUR"
"1999-10-15","15 Oct 1999","1.0869","USD","EUR"
"1999-10-18","18 Oct 1999","1.0868","USD","EUR"
"1999-10-19","19 Oct 1999","1.0818","USD","EUR"
"1999-10-20","20 Oct 1999","1.0777","USD","EUR"
"1999-10-21","21 Oct 1999","1.0797","USD","EUR"
"1999-10-22","22 Oct 1999","1.0758","USD","EUR"
"1999-10-25","25 Oct 1999","1.0683","USD","EUR"
"1999-10-26","26 Oct 1999","1.0633","USD","EUR"
"1999-10-27","27 Oct 1999","1.0552","USD","EUR"
"1999-10-28","28 Oct 1999","1.0534","USD","EUR"
"1999-10-29","29 Oct 1999","1.0453","USD","EUR"
"1999-11-01","01 Nov 1999","1.0572","USD","EUR"
"1999-11-02","02 Nov 1999","1.0507","USD","EUR"
"1999-11-03","03 Nov 1999","1.0491","USD","EUR"
"1999-11-04","04 Nov 1999","1.0504","USD","EUR"
"1999-11-05","05 Nov 1999","1.0408","USD","EUR"
"1999-11-08","08 Nov 1999","1.0405","USD","EUR"
"1999-11-09","09 Nov 1999","1.0424","USD","EUR"
"1999-11-10","10 Nov 1999","1.0402","USD","EUR"
"1999-11-11","11 Nov 1999","1.0406","USD","EUR"
"1999-11-12","12 Nov 1999","1.0308","USD","EUR"
"1999-11-15","15 Nov 1999","1.0301","USD","EUR"
"1999-11-16","16 Nov 1999","1.0336","USD","EUR"
"1999-11-17","17 Nov 1999","1.0408","USD","EUR"
"1999-11-18","18 Nov 1999","1.0380","USD","EUR"
"1999-11-19","19 Nov 1999","1.0279","USD","EUR"
"1999-11-22","22 Nov 1999","1.0311","USD","EUR"
"1999-11-23","23 Nov 1999","1.0315","USD","EUR"
"1999-11-24","24 Nov 1999","1.0215","USD","EUR"
"1999-11-25","25 Nov 1999","1.0194","USD","EUR"
"1999-11-26","26 Nov 1999","1.0101","USD","EUR"
"1999-11-29","29 Nov 1999","1.0077","USD","EUR"
"1999-11-30","30 Nov 1999","1.0097","USD","EUR"
"1999-12-01","01 Dec 1999","1.0091","USD","EUR"
"1999-12-02","02 Dec 1999","1.0057","USD","EUR"
"1999-12-03","03 Dec 1999","1.0015","USD","EUR"
"1999-12-06","06 Dec 1999","1.0182","USD","EUR"
"1999-12-07","07 Dec 1999","1.0239","USD","EUR"
"1999-12-08","08 Dec 1999","1.0236","USD","EUR"
"1999-12-09","09 Dec 1999","1.0175","USD","EUR"
"1999-12-10","10 Dec 1999","1.0141","USD","EUR"
"1999-12-13","13 Dec 1999","1.0128","USD","EUR"
"1999-12-14","14 Dec 1999","1.0038","USD","EUR"
"1999-12-15","15 Dec 1999","1.0021","USD","EUR"
"1999-12-16","16 Dec 1999","1.0146","USD","EUR"
"1999-12-17","17 Dec 1999","1.0128","USD","EUR"
"1999-12-20","20 Dec 1999","1.0096","USD","EUR"
"1999-12-21","21 Dec 1999","1.0084","USD","EUR"
"1999-12-22","22 Dec 1999","1.0074","USD","EUR"
"1999-12-23","23 Dec 1999","1.0089","USD","EUR"
"1999-12-24","24 Dec 1999","1.0142","USD","EUR"
"1999-12-27","27 Dec 1999","1.0134","USD","EUR"
"1999-12-28","28 Dec 1999","1.0089","USD","EUR"
"1999-12-29","29 Dec 1999","1.0072","USD","EUR"
"1999-12-30","30 Dec 1999","1.0046","USD","EUR"
"1999-12-31","31 Dec 1999","USD","EUR"
"2000-01-03","03 Jan 2000","1.0090","USD","EUR"
"2000-01-04","04 Jan 2000","1.0305","USD","EUR"
"2000-01-05","05 Jan 2000","1.0368","USD","EUR"
"2000-01-06","06 Jan 2000","1.0388","USD","EUR"
"2000-01-07","07 Jan 2000","1.0284","USD","EUR"
"2000-01-10","10 Jan 2000","1.0229","USD","EUR"
"2000-01-11","11 Jan 2000","1.0256","USD","EUR"
"2000-01-12","12 Jan 2000","1.0308","USD","EUR"
"2000-01-13","13 Jan 2000","1.0276","USD","EUR"
"2000-01-14","14 Jan 2000","1.0225","USD","EUR"
"2000-01-17","17 Jan 2000","1.0094","USD","EUR"
"2000-01-18","18 Jan 2000","1.0093","USD","EUR"
"2000-01-19","19 Jan 2000","1.0105","USD","EUR"
"2000-01-20","20 Jan 2000","1.0089","USD","EUR"
"2000-01-21","21 Jan 2000","1.0097","USD","EUR"
"2000-01-24","24 Jan 2000","1.0027","USD","EUR"
"2000-01-25","25 Jan 2000","1.0008","USD","EUR"
"2000-01-26","26 Jan 2000","1.0019","USD","EUR"
"2000-01-27","27 Jan 2000","0.9976","USD","EUR"
"2000-01-28","28 Jan 2000","0.9848","USD","EUR"
"2000-01-31","31 Jan 2000","0.9791","USD","EUR"
"2000-02-01","01 Feb 2000","0.9710","USD","EUR"
"2000-02-02","02 Feb 2000","0.9717","USD","EUR"
"2000-02-03","03 Feb 2000","0.9748","USD","EUR"
"2000-02-04","04 Feb 2000","0.9835","USD","EUR"
"2000-02-07","07 Feb 2000","0.9767","USD","EUR"
"2000-02-08","08 Feb 2000","0.9903","USD","EUR"
"2000-02-09","09 Feb 2000","0.9934","USD","EUR"
"2000-02-10","10 Feb 2000","0.9868","USD","EUR"
"2000-02-11","11 Feb 2000","0.9801","USD","EUR"
"2000-02-14","14 Feb 2000","0.9867","USD","EUR"
"2000-02-15","15 Feb 2000","0.9778","USD","EUR"
"2000-02-16","16 Feb 2000","0.9804","USD","EUR"
"2000-02-17","17 Feb 2000","0.9919","USD","EUR"
"2000-02-18","18 Feb 2000","0.9857","USD","EUR"
"2000-02-21","21 Feb 2000","0.9857","USD","EUR"
"2000-02-22","22 Feb 2000","1.0022","USD","EUR"
"2000-02-23","23 Feb 2000","1.0068","USD","EUR"
"2000-02-24","24 Feb 2000","0.9898","USD","EUR"
"2000-02-25","25 Feb 2000","0.9813","USD","EUR"
"2000-02-28","28 Feb 2000","0.9639","USD","EUR"
"2000-02-29","29 Feb 2000","0.9714","USD","EUR"
"2000-03-01","01 Mar 2000","0.9667","USD","EUR"
"2000-03-02","02 Mar 2000","0.9725","USD","EUR"
"2000-03-03","03 Mar 2000","0.9659","USD","EUR"
"2000-03-06","06 Mar 2000","0.9640","USD","EUR"
"2000-03-07","07 Mar 2000","0.9593","USD","EUR"
"2000-03-08","08 Mar 2000","0.9543","USD","EUR"
"2000-03-09","09 Mar 2000","0.9616","USD","EUR"
"2000-03-10","10 Mar 2000","0.9613","USD","EUR"
"2000-03-13","13 Mar 2000","0.9716","USD","EUR"
"2000-03-14","14 Mar 2000","0.9620","USD","EUR"
"2000-03-15","15 Mar 2000","0.9647","USD","EUR"
"2000-03-16","16 Mar 2000","0.9663","USD","EUR"
"2000-03-17","17 Mar 2000","0.9672","USD","EUR"
"2000-03-20","20 Mar 2000","0.9715","USD","EUR"
"2000-03-21","21 Mar 2000","0.9701","USD","EUR"
"2000-03-22","22 Mar 2000","0.9603","USD","EUR"
"2000-03-23","23 Mar 2000","0.9656","USD","EUR"
"2000-03-24","24 Mar 2000","0.9715","USD","EUR"
"2000-03-27","27 Mar 2000","0.9712","USD","EUR"
"2000-03-28","28 Mar 2000","0.9647","USD","EUR"
"2000-03-29","29 Mar 2000","0.9568","USD","EUR"
"2000-03-30","30 Mar 2000","0.9555","USD","EUR"
"2000-03-31","31 Mar 2000","0.9553","USD","EUR"
"2000-04-03","03 Apr 2000","0.9564","USD","EUR"
"2000-04-04","04 Apr 2000","0.9538","USD","EUR"
"2000-04-05","05 Apr 2000","0.9673","USD","EUR"
"2000-04-06","06 Apr 2000","0.9625","USD","EUR"
"2000-04-07","07 Apr 2000","0.9564","USD","EUR"
"2000-04-10","10 Apr 2000","0.9590","USD","EUR"
"2000-04-11","11 Apr 2000","0.9594","USD","EUR"
"2000-04-12","12 Apr 2000","0.9576","USD","EUR"
"2000-04-13","13 Apr 2000","0.9537","USD","EUR"
"2000-04-14","14 Apr 2000","0.9540","USD","EUR"
"2000-04-17","17 Apr 2000","0.9573","USD","EUR"
"2000-04-18","18 Apr 2000","0.9497","USD","EUR"
"2000-04-19","19 Apr 2000","0.9461","USD","EUR"
"2000-04-20","20 Apr 2000","0.9376","USD","EUR"
"2000-04-21","21 Apr 2000","USD","EUR"
"2000-04-24","24 Apr 2000","USD","EUR"
"2000-04-25","25 Apr 2000","0.9302","USD","EUR"
"2000-04-26","26 Apr 2000","0.9193","USD","EUR"
"2000-04-27","27 Apr 2000","0.9163","USD","EUR"
"2000-04-28","28 Apr 2000","0.9085","USD","EUR"
"2000-05-01","01 May 2000","USD","EUR"
"2000-05-02","02 May 2000","0.9116","USD","EUR"
"2000-05-03","03 May 2000","0.8913","USD","EUR"
"2000-05-04","04 May 2000","0.8947","USD","EUR"
"2000-05-05","05 May 2000","0.8984","USD","EUR"
"2000-05-08","08 May 2000","0.8952","USD","EUR"
"2000-05-09","09 May 2000","0.8978","USD","EUR"
"2000-05-10","10 May 2000","0.9107","USD","EUR"
"2000-05-11","11 May 2000","0.9079","USD","EUR"
"2000-05-12","12 May 2000","0.9029","USD","EUR"
"2000-05-15","15 May 2000","0.9147","USD","EUR"
"2000-05-16","16 May 2000","0.9065","USD","EUR"
"2000-05-17","17 May 2000","0.8922","USD","EUR"
"2000-05-18","18 May 2000","0.8942","USD","EUR"
"2000-05-19","19 May 2000","0.8875","USD","EUR"
"2000-05-22","22 May 2000","0.9000","USD","EUR"
"2000-05-23","23 May 2000","0.9111","USD","EUR"
"2000-05-24","24 May 2000","0.9098","USD","EUR"
"2000-05-25","25 May 2000","0.8981","USD","EUR"
"2000-05-26","26 May 2000","0.9143","USD","EUR"
"2000-05-29","29 May 2000","0.9262","USD","EUR"
"2000-05-30","30 May 2000","0.9359","USD","EUR"
"2000-05-31","31 May 2000","0.9303","USD","EUR"
"2000-06-01","01 Jun 2000","0.9330","USD","EUR"
"2000-06-02","02 Jun 2000","0.9355","USD","EUR"
"2000-06-05","05 Jun 2000","0.9433","USD","EUR"
"2000-06-06","06 Jun 2000","0.9485","USD","EUR"
"2000-06-07","07 Jun 2000","0.9554","USD","EUR"
"2000-06-08","08 Jun 2000","0.9668","USD","EUR"
"2000-06-09","09 Jun 2000","0.9490","USD","EUR"
"2000-06-12","12 Jun 2000","0.9527","USD","EUR"
"2000-06-13","13 Jun 2000","0.9583","USD","EUR"
"2000-06-14","14 Jun 2000","0.9636","USD","EUR"
"2000-06-15","15 Jun 2000","0.9524","USD","EUR"
"2000-06-16","16 Jun 2000","0.9565","USD","EUR"
"2000-06-19","19 Jun 2000","0.9640","USD","EUR"
"2000-06-20","20 Jun 2000","0.9538","USD","EUR"
"2000-06-21","21 Jun 2000","0.9470","USD","EUR"
"2000-06-22","22 Jun 2000","0.9405","USD","EUR"
"2000-06-23","23 Jun 2000","0.9413","USD","EUR"
"2000-06-26","26 Jun 2000","0.9327","USD","EUR"
"2000-06-27","27 Jun 2000","0.9401","USD","EUR"
"2000-06-28","28 Jun 2000","0.9415","USD","EUR"
"2000-06-29","29 Jun 2000","0.9504","USD","EUR"
"2000-06-30","30 Jun 2000","0.9556","USD","EUR"
"2000-07-03","03 Jul 2000","0.9493","USD","EUR"
"2000-07-04","04 Jul 2000","0.9487","USD","EUR"
"2000-07-05","05 Jul 2000","0.9537","USD","EUR"
"2000-07-06","06 Jul 2000","0.9542","USD","EUR"
"2000-07-07","07 Jul 2000","0.9483","USD","EUR"
"2000-07-10","10 Jul 2000","0.9523","USD","EUR"
"2000-07-11","11 Jul 2000","0.9527","USD","EUR"
"2000-07-12","12 Jul 2000","0.9499","USD","EUR"
"2000-07-13","13 Jul 2000","0.9349","USD","EUR"
"2000-07-14","14 Jul 2000","0.9344","USD","EUR"
"2000-07-17","17 Jul 2000","0.9352","USD","EUR"
"2000-07-18","18 Jul 2000","0.9353","USD","EUR"
"2000-07-19","19 Jul 2000","0.9216","USD","EUR"
"2000-07-20","20 Jul 2000","0.9220","USD","EUR"
"2000-07-21","21 Jul 2000","0.9363","USD","EUR"
"2000-07-24","24 Jul 2000","0.9332","USD","EUR"
"2000-07-25","25 Jul 2000","0.9410","USD","EUR"
"2000-07-26","26 Jul 2000","0.9390","USD","EUR"
"2000-07-27","27 Jul 2000","0.9389","USD","EUR"
"2000-07-28","28 Jul 2000","0.9276","USD","EUR"
"2000-07-31","31 Jul 2000","0.9243","USD","EUR"
"2000-08-01","01 Aug 2000","0.9264","USD","EUR"
"2000-08-02","02 Aug 2000","0.9142","USD","EUR"
"2000-08-03","03 Aug 2000","0.9028","USD","EUR"
"2000-08-04","04 Aug 2000","0.9031","USD","EUR"
"2000-08-07","07 Aug 2000","0.9084","USD","EUR"
"2000-08-08","08 Aug 2000","0.9047","USD","EUR"
"2000-08-09","09 Aug 2000","0.8973","USD","EUR"
"2000-08-10","10 Aug 2000","0.9031","USD","EUR"
"2000-08-11","11 Aug 2000","0.9132","USD","EUR"
"2000-08-14","14 Aug 2000","0.9011","USD","EUR"
"2000-08-15","15 Aug 2000","0.9118","USD","EUR"
"2000-08-16","16 Aug 2000","0.9072","USD","EUR"
"2000-08-17","17 Aug 2000","0.9140","USD","EUR"
"2000-08-18","18 Aug 2000","0.9127","USD","EUR"
"2000-08-21","21 Aug 2000","0.9023","USD","EUR"
"2000-08-22","22 Aug 2000","0.8972","USD","EUR"
"2000-08-23","23 Aug 2000","0.8918","USD","EUR"
"2000-08-24","24 Aug 2000","0.9012","USD","EUR"
"2000-08-25","25 Aug 2000","0.9021","USD","EUR"
"2000-08-28","28 Aug 2000","0.9007","USD","EUR"
"2000-08-29","29 Aug 2000","0.8965","USD","EUR"
"2000-08-30","30 Aug 2000","0.8909","USD","EUR"
"2000-08-31","31 Aug 2000","0.8906","USD","EUR"
"2000-09-01","01 Sep 2000","0.8902","USD","EUR"
"2000-09-04","04 Sep 2000","0.9000","USD","EUR"
"2000-09-05","05 Sep 2000","0.8886","USD","EUR"
"2000-09-06","06 Sep 2000","0.8818","USD","EUR"
"2000-09-07","07 Sep 2000","0.8676","USD","EUR"
"2000-09-08","08 Sep 2000","0.8735","USD","EUR"
"2000-09-11","11 Sep 2000","0.8609","USD","EUR"
"2000-09-12","12 Sep 2000","0.8614","USD","EUR"
"2000-09-13","13 Sep 2000","0.8654","USD","EUR"
"2000-09-14","14 Sep 2000","0.8693","USD","EUR"
"2000-09-15","15 Sep 2000","0.8615","USD","EUR"
"2000-09-18","18 Sep 2000","0.8526","USD","EUR"
"2000-09-19","19 Sep 2000","0.8541","USD","EUR"
"2000-09-20","20 Sep 2000","0.8476","USD","EUR"
"2000-09-21","21 Sep 2000","0.8524","USD","EUR"
"2000-09-22","22 Sep 2000","0.8890","USD","EUR"
"2000-09-25","25 Sep 2000","0.8770","USD","EUR"
"2000-09-26","26 Sep 2000","0.8757","USD","EUR"
"2000-09-27","27 Sep 2000","0.8861","USD","EUR"
"2000-09-28","28 Sep 2000","0.8832","USD","EUR"
"2000-09-29","29 Sep 2000","0.8765","USD","EUR"
"2000-10-02","02 Oct 2000","0.8802","USD","EUR"
"2000-10-03","03 Oct 2000","0.8763","USD","EUR"
"2000-10-04","04 Oct 2000","0.8730","USD","EUR"
"2000-10-05","05 Oct 2000","0.8786","USD","EUR"
"2000-10-06","06 Oct 2000","0.8703","USD","EUR"
"2000-10-09","09 Oct 2000","0.8695","USD","EUR"
"2000-10-10","10 Oct 2000","0.8721","USD","EUR"
"2000-10-11","11 Oct 2000","0.8720","USD","EUR"
"2000-10-12","12 Oct 2000","0.8648","USD","EUR"
"2000-10-13","13 Oct 2000","0.8627","USD","EUR"
"2000-10-16","16 Oct 2000","0.8511","USD","EUR"
"2000-10-17","17 Oct 2000","0.8496","USD","EUR"
"2000-10-18","18 Oct 2000","0.8525","USD","EUR"
"2000-10-19","19 Oct 2000","0.8411","USD","EUR"
